id	track_name	artist	album	decade
1	West End Blues	Louis Armstrong	The Essential Louis Armstrong	1920
2	St Louis Blues	Bessie Smith	The Anthology	1920
3	Blue Yodel #1 (t For Texas)	Jimmie Rodgers	The Very Best Of	1920
4	Ain't Misbehavin	Fats Waller	1934-1943 - Ain't Misbehavin	1920
5	Wildwood Flower	A. P. Carter	The Carter Family 1927 - 1934 Disc A	1920
6	Dark Was the Night, Cold Was the Ground	Blind Willie Johnson	Dark Was The Night (Mojo Workin'- Blues For The Next Generation)	1920
7	Swanee	Various Artists	The Roaring 20s Year-By-Year: 1920 to 1929, The Number One Hits of the Decade	1920
8	Pony Blues	Charley Patton	Father Of Delta Blues	1920
9	Rhapsody In Blue	Various Artists	Greatest Hits Of The 20's	1920
10	Crazy Blues	Mamie Smith	Mamie Smith Vol. 1 (1920-1921)	1920
11	Black and Tan Fantasy	Duke Ellington	The Essential Duke Ellington	1920
12	Singin' The Blues	Bix Beiderbecke And Frankie Trumbauer	Bix And Tram	1920
13	See See Rider Blues - Remastered	Ma Rainey	Blues Legends: Ma Rainey	1920
14	Statesboro Blues	Blind Willie McTell	Blind Willie McTell -Statesboro Blues - The Early Years 1927-1935	1920
15	In a Mist	Bix Beiderbecke	Bix Beiderbecke, Volume I: Singin' The Blues	1920
16	Pine Top's Boogie Woogie	Various Artists	Shake Your Wicked Knees: Classic Piano Rags, Blues & Stomps 1928 - 43	1920
17	Carolina Shout	Various Artists	Tiger Rag (Jazz Age - a Hommage to the Great Gatsby Era 1920 - 1923)	1920
18	Ol' Man River	Paul Robeson	Paul Robeson	1920
19	Matchbox Blues	Blind Lemon Jefferson	Blind Lemon Jefferson (The Big Blues Collection)	1920
20	Downhearted Blues	Bessie Smith	The Anthology	1920
21	Empty Bed Blues	Bessie Smith	Goddesses Of Blues - Bessie Smith	1920
22	Dippermouth Blues	Louis Armstrong	Louis Armstrong And King Oliver	1920
23	Stardust - Remastered 2002	Hoagy Carmichael	Stardust Melody	1920
24	Makin' Whoopee	Various Artists	The Naughty 1920s: Red Hot & Risque Songs of The Jazz Age, Vol. 1	1920
25	See That My Grave Is Kept Clean	Various Artists	The Roots of Jimi Hendrix	1920
26	Whispering	Various Artists	Roaring '20s Jazz	1920
27	Potato Head Blues - 78rpm Version	Louis Armstrong	The Essential Louis Armstrong	1920
28	How Long - How Long Blues	Leroy Carr	Leroy Carr Vol. 1 (1928-1929)	1920
29	Keep On The Sunny Side	Various Artists	The Best Of Bob Dylan's Theme Time Radio Hour	1920
30	Stack O' Lee	Various Artists	100 Blues Classics	1920
31	Struttin' with Some Barbecue - 78 rpm Version	Louis Armstrong	Columbia Original Masters	1920
32	St. James Infirmary	Louis Armstrong	The Complete Hot Five And Hot Seven Recordings Volume 3	1920
33	The Little Old Log Cabin In The Lane	Fiddlin John Carson	Fiddlin John Carson Vol. 1 1923 - 1924	1920
34	How Can A Poor Man Stand Such Times And Live - Remastered 2003	Various Artists	Poor Man's Heaven - Blues And Tales Of The Great Depression - When The Sun Goes Down Series	1920
35	My Man	Various Artists	Broadway: The American Musical	1920
36	Sally Gooden	Various Artists	Birth Of Bluegrass, Vol. 2	1920
37	St. Louis Blues - Vocal	Louis Armstrong	The Essential Louis Armstrong	1920
38	It's Tight Like That	Various Artists	Tampa Red	1920
39	My Mammy	Al Jolson	The Best Of Al Jolson	1920
40	King Porter Stomp	Jelly Roll Morton	Jelly Roll Morton 1923/24	1920
41	Honky Tonk Train Blues	Various Artists	Really the Blues?: A Blues History (1893-1959), Vol. 1 (1893-1929)	1920
42	Allons À Lafayette	Sampler	Cajun Music - Musique De La Louisane	1920
43	Fascinating Rhythm	George Gershwin	The Songs of George Gershwin	1920
44	Black Bottom Stomp	Jelly Roll Morton	A Jazz Hour With Jelly Roll Morton: Doctor Jazz	1920
45	Handful of Keys - Remastered 2000	Fats Waller	Fats Waller: Very Best of Fats Waller	1920
46	East St. Louis Toodle-Oo	Duke Ellington	The Essential Duke Ellington	1920
47	My Blue Heaven	Various Artists	Empire Boardwalk Jazz & Blues	1920
48	The Prisoner's Song	Various Artists	Roaring '20s Jazz	1920
49	Black Snake Moan	Blind Lemon Jefferson	Black Snake Moan	1920
50	Country Blues	Various Artists	American Folk Music	1920
51	Black And Blue	Louis Armstrong	The Essential Louis Armstrong	1920
52	Ain't Misbehavin'	Louis Armstrong	The Essential Louis Armstrong	1920
53	The Coo Coo Bird	Various Artists	American Folk Music	1920
54	Cool Drink of Water Blues	Tommy Johnson	Tommy Johnson 1928 - 1929	1920
55	Trouble in Mind	Bertha "Chippie" Hill	1920’s Vintage Jazz & Blues	1920
56	Frankie	Mississippi John Hurt	Frankie got the blues	1920
57	Don't Let Your Deal Go Down Blues (with The North Carolina Ramblers) - 78rpm Version	Various Artists	The Best Of Can't You Hear Me Callin' - Bluegrass: 80 Years Of American Music	1920
58	I Wanna Be Loved By You ( 1928 Version )	Helen Kane	I Wanna Be loved By You	1920
59	In the Jailhouse Now	Jimmie Rodgers	The Essential Jimmie Rodgers	1920
60	Nobody Knows You When You're Down and Out - 78rpm Version	Bessie Smith	The Essential Bessie Smith	1920
61	Pan American Blues	Various Artists	Vintage Novelty Songs	1920
62	Stealin', Stealin' - Remastered 2002	Memphis Jug Band	American Epic: The Best of Memphis Jug Band	1920
63	Mon Homme	Various Artists	Paris Est Toujours Paris!	1920
64	Heebie Jeebies	Louis Armstrong	The Complete Hot Five & Hot Seven Recordings	1920
65	Candy Man Blues	Mississippi John Hurt	Avalon Blues - The Complete 1928 OKeh Recordings	1920
66	Copenhagen	Fletcher Henderson	The Fletcher Henderson Story: A Study in Frustration (Bonus Track Version)	1920
67	Lovesick Blues	Emmett Miller	The 1928-1929 Okeh Recordings	1920
68	Love Me or Leave Me	Ruth Etting	You're the Cream in My Coffee (Original Recordings 1928 -1931)	1920
69	Bye-Bye, Blackbird (1926)	Gene Austin	A Retrospective Gene Austin	1920
70	It Had To Be You	Various Artists	No. 1 Chart Toppers of the 1920s Original Recordings Vol.1	1920
71	Big Road Blues	Tommy Johnson	Tommy Johnson 1928 - 1929	1920
72	Ory's Creole Trombone	Various Artists	1920s: The Jazz Age In New Orleans	1920
73	Grandpa Spells	Jelly Roll Morton	Jelly Roll Morton: Songbook	1920
74	Mother's Children Have a Hard Time	Blind Willie Johnson	The Complete Blind Willie Johnson	1920
75	I Can't Give You Anything But Love	Louis Armstrong	The Essential Louis Armstrong	1920
76	Doctor Jazz Stomp	Jelly Roll Morton	Jelly Roll Blues	1920
77	James Alley Blues	Various Artists	I'm Going Where the Water Drinks Like Wine (18 Unsung Bluesmen) [Rarities 1923-29]	1920
78	California, Here I Come (1924)	Al Jolson	In The '20s, In The '40s	1920
79	The Stampede	Fletcher Henderson	The Quintessence Fletcher Henderson 1924-1936: New York Chicago	1920
80	Back Water Blues	Bessie Smith	BD Music Presents Bessie Smith	1920
81	Tight Like This	Louis Armstrong	The Complete Hot Five & Hot Seven Recordings	1920
82	The Titanic	Ernest Stoneman	Country Legend	1920
83	Tain't Nobody's Bizness If I Do	Bessie Smith	The Essential Bessie Smith	1920
84	Chimes Blues - Original	King Oliver's Creole Jazz Band	King Oliver and His Creole Jazz Band Selected Favorites	1920
85	Tin Roof Blues	New Orleans Rhythm Kings	Jazz Figures / New Orleans Rhythm Kings (1922-1935)	1920
86	Waiting for a Train	Jimmie Rodgers	Essential Jimmie Rodgers	1920
87	Kansas City Stomps	Jelly Roll Morton	The Compositions of Jelly Roll Morton 1923-1941	1920
88	The Pearls	Jelly Roll Morton	The Compositions of Jelly Roll Morton 1923-1941	1920
89	Canal Street Blues	King Oliver's Creole Jazz Band	Jazz Figures / King Oliver (1923 -1930)	1920
90	Kassie Jones	Furry Lewis	Essential Blues Masters	1920
91	Dead Man Blues	Jelly Roll Morton	Jelly Roll Blues	1920
92	Les roses blanches	Berthe Sylva	Les roses blanches (18 chansons françaises)	1920
93	Basin Street Blues (06-11-29)	Louisiana Rhythm Kings	Complete Jazz Series 1929 - 1930	1920
94	A Monday Date	Earl Hines	A Monday Date	1920
95	South	Bennie Moten's Kansas City Orchestra	Moten Blues (Original Aufnahmen 1928 - 1929)	1920
96	Dinah	Various Artists	Speakeasy Music of the 1920's	1920
97	Cake Walking Babies (From Home)	Louis Armstrong	Louis Armstrong: Portrait Of The Artist As A Young Man 1923-1934	1920
98	Keep My Skillet Good And Greasy	Various Artists	Hooked On Country Classics Vol. 40	1920
99	I'm Coming Virginia	Bix Beiderbecke	Bix Beiderbecke, Volume I: Singin' The Blues	1920
100	Stringin the Blues	Joe Venuti & Eddie Lang	The Best	1920
101	Whistle While You Work	Various Artists	Top Hits Of The 1930s	1930
102	Me And My Girl	Various Artists	Top Hits Of The 1930s	1930
103	Let Yourself Go	Various Artists	Top Hits Of The 1930s	1930
104	My Baby Just Cares For Me	Various Artists	Top Hits Of The 1930s	1930
105	Puttin' On The Ritz	Various Artists	Top Hits Of The 1930s	1930
106	It Happened In Monterey	Various Artists	Top Hits Of The 1930s	1930
107	Easy To Love	Various Artists	Top Hits Of The 1930s	1930
108	We Just Couldn't Say Goodbye	Various Artists	Top Hits Of The 1930s	1930
109	Donkey Serenade	Various Artists	Top Hits Of The 1930s	1930
110	La Cucaracha	Various Artists	Top Hits Of The 1930s	1930
111	Love Is The Sweetest Thing	Various Artists	Top Hits Of The 1930s	1930
112	Darling Je Vous Aime Beaucoup	Various Artists	Top Hits Of The 1930s	1930
113	Little White Lies	Various Artists	Top Hits Of The 1930s	1930
114	Falling In Love Again	Various Artists	Top Hits Of The 1930s	1930
115	Nice Work If You Can Get It	Various Artists	Top Hits Of The 1930s	1930
116	I Wished On The Moon	Various Artists	Top Hits Of The 1930s	1930
117	Exactly Like You	Various Artists	Top Hits Of The 1930s	1930
118	Minnie The Moocher (The Ho-De-Ho Song)	Various Artists	Top Hits Of The 1930s	1930
119	When The Moon Comes Over The Mountain	Various Artists	Top Hits Of The 1930s	1930
120	Down And Out Blues	Various Artists	Top Hits Of The 1930s	1930
121	I'll Never Be The Same	Various Artists	Top Hits Of The 1930s	1930
122	Happy-Go-Lucky You And Broken-Hearted Me	Various Artists	Top Hits Of The 1930s	1930
123	Oh! Donna Carla!	Various Artists	Top Hits Of The 1930s	1930
124	The Object Of My Affection	Various Artists	Top Hits Of The 1930s	1930
125	I'm In A Dancing Mood	Various Artists	Top Hits Of The 1930s	1930
126	Would You Like to Take a Walk?	Various Artists	Top Hits Of The 1930s	1930
127	Body And Soul	Various Artists	Top Hits Of The 1930s	1930
128	The Way You Look Tonight	Various Artists	Top Hits Of The 1930s	1930
129	I Saw Stars	Various Artists	Top Hits Of The 1930s	1930
130	Let's Face The Music And Dance	Various Artists	Top Hits Of The 1930s	1930
131	You're Driving Me Crazy	Various Artists	Top Hits Of The 1930s	1930
132	Somebody's Thinking Of You Tonight	Various Artists	Top Hits Of The 1930s	1930
133	Blue Moon	Various Artists	Top Hits Of The 1930s	1930
134	I Hadn't Anyone Till You	Various Artists	Top Hits Of The 1930s	1930
135	You're Getting To Be A Habit With Me	Various Artists	Top Hits Of The 1930s	1930
136	Nevertheless	Various Artists	Top Hits Of The 1930s	1930
137	Bei Mir Bist Du Schoen	Various Artists	Top Hits Of The 1930s	1930
138	These Foolish Things	Various Artists	Top Hits Of The 1930s	1930
139	From The Top Of Your Head	Various Artists	Top Hits Of The 1930s	1930
140	Top Hat White Tie And Tails	Various Artists	Top Hits Of The 1930s	1930
141	Your Heart And Mine	Various Artists	Top Hits Of The 1930s	1930
142	Three Little Words	Various Artists	Top Hits Of The 1930s	1930
143	Flat Foot Floogie (With The Floy Floy)	Various Artists	Top Hits Of The 1930s	1930
144	Love Walked In	Various Artists	Top Hits Of The 1930s	1930
145	You're A Sweetheart	Various Artists	Top Hits Of The 1930s	1930
146	Jeepers Creepers	Various Artists	Top Hits Of The 1930s	1930
147	Life Is A Song	Various Artists	Top Hits Of The 1930s	1930
148	Body And Soul	Various Artists	Top Hits Of The 1930s	1930
149	Sweet and Lovely	Various Artists	Top Hits Of The 1930s	1930
150	I'm Gonna Sit Right Down And Write Myself A Letter	Various Artists	Top Hits Of The 1930s	1930
151	Wrap Your Troubles In Dreams	Various Artists	Top Hits Of The 1930s	1930
152	The Glory Of Love	Various Artists	Top Hits Of The 1930s	1930
153	Lullaby Of Broadway	Various Artists	Top Hits Of The 1930s	1930
154	Stompin' At The Savoy	Various Artists	Top Hits Of The 1930s	1930
155	One Night Of Love	Various Artists	Top Hits Of The 1930s	1930
156	Star dust	Various Artists	Top Hits Of The 1930s	1930
157	A Fine Romance	Various Artists	Top Hits Of The 1930s	1930
158	Walkin' My Baby Back Home	Various Artists	Top Hits Of The 1930s	1930
159	Change Partners	Various Artists	Top Hits Of The 1930s	1930
160	Your Feet's Too Big	Various Artists	Top Hits Of The 1930s	1930
161	I Get A Kick Out Of You	Various Artists	Top Hits Of The 1930s	1930
162	I've Told Ev'ry Little Star	Various Artists	Top Hits Of The 1930s	1930
163	Prisoner of Love	Various Artists	Top Hits Of The 1930s	1930
164	Begin The Beguine	Various Artists	Top Hits Of The 1930s	1930
165	You Couldn't Be Cuter	Various Artists	Top Hits Of The 1930s	1930
166	Lights Out	Various Artists	Top Hits Of The 1930s	1930
167	Until The Real Thing Comes Along	Various Artists	Top Hits Of The 1930s	1930
168	I'm In The Mood For Love	Various Artists	Top Hits Of The 1930s	1930
169	A Tisket, A Tasket	Various Artists	Top Hits Of The 1930s	1930
170	Isn't It Romantic	Various Artists	Top Hits Of The 1930s	1930
171	The Song Is You	Various Artists	Top Hits Of The 1930s	1930
172	Alone	Various Artists	Top Hits Of The 1930s	1930
173	What A Difference A Day Made	Various Artists	Top Hits Of The 1930s	1930
174	The Touch Of Your Lips	Various Artists	Top Hits Of The 1930s	1930
175	Beyond The Blue Horizon	Various Artists	Top Hits Of The 1930s	1930
176	Cheek To Cheek	Various Artists	Top Hits Of The 1930s	1930
177	I Don't Know Why	Various Artists	Top Hits Of The 1930s	1930
178	As Time Goes By	Various Artists	Top Hits Of The 1930s	1930
179	Wabash Cannon Ball	Various Artists	Top Hits Of The 1930s	1930
180	I'm Confessing That I Love You	Various Artists	Top Hits Of The 1930s	1930
181	Ten Cents A Dance	Various Artists	Top Hits Of The 1930s	1930
182	A Ghost Of A Chance	Various Artists	Top Hits Of The 1930s	1930
183	Happy Feet	Various Artists	Top Hits Of The 1930s	1930
184	Stay As Sweet As You Are	Various Artists	Top Hits Of The 1930s	1930
185	Oh Ma-Ma	Various Artists	Top Hits Of The 1930s	1930
186	Mad Dogs And Englishmen	Various Artists	Top Hits Of The 1930s	1930
187	Just One More Chance	Various Artists	Top Hits Of The 1930s	1930
188	If I Had A Talking Picture Of You	Various Artists	Top Hits Of The 1930s	1930
189	East Of The Sun (And West Of The Moon)	Various Artists	Top Hits Of The 1930s	1930
190	Mad About The Boy	Various Artists	Top Hits Of The 1930s	1930
191	Gipsy Moon	Various Artists	Top Hits Of The 1930s	1930
192	Goodnight Sweetheart	Various Artists	Top Hits Of The 1930s	1930
193	Sally	Various Artists	Top Hits Of The 1930s	1930
194	When It's Springtime In The Rockies	Various Artists	Top Hits Of The 1930s	1930
195	Dancing in the Dark	Various Artists	Top Hits Of The 1930s	1930
196	Rockin' Chair	Various Artists	Top Hits Of The 1930s	1930
197	I'm In The Mood For Love	Various Artists	Top Hits Of The 1930s	1930
198	I'm An Old Cowhand (From The Rio Grande)	Various Artists	Top Hits Of The 1930s	1930
199	Moonglow	Various Artists	Top Hits Of The 1930s	1930
200	With A Song In My Heart	Various Artists	Top Hits Of The 1930s	1930
201	I'm So Lonesome I Could Cry - Single Version	Hank Williams	The Complete Hank Williams	1940
202	La Vie en rose	Édith Piaf	Edith Piaf - The Best Of	1940
203	White Christmas	Bing Crosby	Bing Crosby Rediscovered: The Soundtrack (American Masters)	1940
204	Round Midnight	Various Artists	Amy Winehouse's Jukebox	1940
205	Boogie Chillen	John Lee Hooker	2001 – 2011 : 10 Ans Déjà... (Album Anniversaire Des 10 Ans Du Décès De John Lee Hooker)	1940
206	Koko	Charlie Parker	The Essential Charlie Parker	1940
207	I Will Move On Up A Little Higher - Part 1	Mahalia Jackson	The Essential Mahalia Jackson	1940
208	Blue Moon Of Kentucky - Original	Bill Monroe	Bill Monroe Selected Favorites, Vol. 1	1940
209	Take the "A" Train	Duke Ellington	Never No Lament: The Blanton-Webster Band	1940
210	God Bless The Child	Billie Holiday	The Complete Billie Holiday	1940
211	Call It Stormy Monday (But Tuesday Is Just As Bad)	Blues	Platinum Masters	1940
212	Caldonia	Louis Jordan & His Tympany Five	Jukebox Hits Volume 1 1942-1947	1940
213	Flying Home	Lionel Hampton	Jukebox Hits 1943-1950	1940
214	Nuages - avec le Quintette Hot Club de France	Django Reinhardt	The Best Of Django Reinhardt	1940
215	Black (First Movement Of Black, Brown And Beige) - Live	Duke Ellington	The Duke Elington Carnegie Hall Concerts, January 1943	1940
216	Manteca	Various Artists	Essential Burlesque	1940
217	Sentimental Journey	Doris Day	A Sentimental Journey (Her 53 Finest 1944 - 1960)	1940
218	Stormy Weather	Various Artists	Pure... Jazz	1940
219	(Get Your Kicks On) Route 66 - Remastered	Nat King Cole	Route 66	1940
220	La mer (Beyond the Sea)	Charles Trenet	Charles Trenet : 10ème anniversaire	1940
221	Lovesick Blues - Single Version	Hank Williams	40 Greatest Hits	1940
222	Choo Choo Ch' Boogie	Louis Jordan & His Tympany Five	Jukebox Hits Volume 1 1942-1947	1940
223	When You Wish Upon A Star	Various Artists	40 From The 40's Volume 2	1940
224	Foggy Mountain Breakdown	Lester Flatt & Earl Scruggs And The Stanley Brothers	Lester Flatt & Earl Scruggs And The Stanley Brothers Selected Sides 1947 - 1953	1940
225	It's Too Soon to Know	Various Artists	American Rock 'n Roll History	1940
226	Solo Flight	Charlie Christian	39 Masterpieces	1940
227	Les feuilles mortes	Yves Montand	Yves Montand - Les feuilles mortes	1940
228	You Are My Sunshine	Jimmie Davis	10 X Governor Jimmie Davis-EP	1940
229	Driftin' Blues - 1992 Digital Remaster	Charles Brown	The Best Of Charles Brown: Driftin' Blues	1940
230	Nature Boy	Various Artists	100 Love Songs & Love Ballads - Classic Lovesongs from the Greatest Legends (Valentines Edition)	1940
231	Artistry In Rhythm	Stan Kenton	The Best Of Stan Kenton	1940
232	The Christmas Song (Merry Christmas To You)	Nat King Cole	The Ultimate Collection	1940
233	A Night In Tunisia	Dizzy Gillespie	Best of Dizzy Gillespie	1940
234	Der Fuehrer's Face	Various Artists	Kickin' Hitler's Butt: Vintage Anti-Facist Songs 1940-1944	1940
235	Mule Skinner Blues	Bill Monroe	This is Bill Monroe	1940
236	Boogie Woogie Bugle Boy	The Andrews Sisters	Boogie Woogie Bugle Boy	1940
237	Ko-Ko	Duke Ellington	The Essential Duke Ellington	1940
238	New San Antonio Rose	Bob Wills & His Texas Playboys	American Roots Music (Remastered)	1940
239	Good Rockin' Tonight	Various Artists	Ancestors of Rock'n Roll	1940
240	Ornithology (03-28-46)	Charlie Parker	Complete Jazz Series 1945 - 1947	1940
241	Parker's Mood	Charlie Parker	Parker's Mood	1940
242	Key to the Highway	Various Artists	Southern Blues (Vol. 2)	1940
243	Lost Highway	Hank Williams	Masterpieces: Hank Williams	1940
244	Move It On Over	Hank Williams	Complete Singles A's & B's 1946-1949	1940
245	Star Dust	Artie Shaw	Star Dust (The Bluebird Recordings in Chronological Order Vol. 07 - 1940)	1940
246	Groovin' High	Dizzy Gillespie	Groovin' High	1940
247	Walking The Floor Over You	Various Artists	Big Bad Country	1940
248	The Man I Love	Billie Holiday	THE QUINTESSENTIAL BILLIE HOLIDAY, Vol. 8 (1939 - 1940)	1940
249	Let the Good Times Roll	Louis Jordan	Let the Good Times Roll	1940
250	Paper Doll - Single Version	The Mills Brothers	All Time Greatest Hits	1940
251	As time goes by - Complete vocal by Dooley Wilson	Max Steiner	Casablanca	1940
252	Straighten Up And Fly Right	Nat King Cole Trio	The Complete Capitol Recordings Of The Nat King Cole Trio	1940
253	Good Rockin' Tonight	Roy Brown	Roy Brown, Hurry Hurry Babe!	1940
254	Saturday Night Fish Fry	Louis Jordan & His Tympany Five	Jukebox Hits Volume 2 1947-1951	1940
255	Tenderly	Sarah Vaughan	Tenderly	1940
256	Four Brothers	Woody Herman & His Orchestra	Blowin' Up A Storm: The Columbia Years 1945-1947	1940
257	For Me And My Gal - Single Version	Judy Garland	Over The Rainbow – The Very Best of Judy Garland	1940
258	Riders In the Sky	Vaughn Monroe	Best of Vaughn Monroe	1940
259	Swinging On A Star	Various Artists	Best Movie Songs Collection Vol 1	1940
260	All Or Nothing At All	Harry James	The Complete Harry James And His Orchestra featuring Frank Sinatra (feat. Frank Sinatra)	1940
261	I Love you (For Sentimental Reasons)	Nat King Cole	The Essence of Nat King Cole	1940
262	I Can't Be Satisfied	Various Artists	The Best of Chess Records Original Artist Recordings Of Songs In The Film "Cadillac Records"	1940
263	Misterioso - Live	Thelonious Monk	Misterioso	1940
264	Now's The Time	Charlie Parker	The Essential Charlie Parker	1940
265	Chicken Shack Boogie - Rerecorded	Amos Milburn	The Very Best of Amos Milburn	1940
266	Worried Life Blues	Various Artists	Eric Clapton's Jukebox	1940
267	Rudolph, the Red-Nosed Reindeer (with The Pinafores)	Gene Autry	A Gene Autry Christmas	1940
268	Jole Blon	Harry Choates	Jole Blon: The Original Cajun Fiddle of Harry Choates	1940
269	Cocktails For Two	Spike Jones	Best Of	1940
270	Salt Peanuts	Dizzy Gillespie	Groovin' High	1940
271	Early Autumn	Woody Herman	The Essence Of Woody Herman	1940
272	Near You	Various Artists	The 50 Best Hit Songs of the 1940s	1940
273	Body and Soul	Billie Holiday	Lady Day: The Best Of Billie Holiday	1940
274	Seven Come Eleven (feat. Benny Goodman & Charlie Christian)	Charlie Christian	The Original Guitar Hero	1940
275	Swing To Bop	Charlie Christian	Immortal Charlie Christian - Guest Artist	1940
276	It Had To Be You	Various Artists	Jazz Hits of The Early 40's Vol 6	1940
277	Gloomy Sunday (with Teddy Wilson & His Orchestra) - Take 1	Billie Holiday	Lady Day: The Complete Billie Holiday On Columbia (1933-1944)	1940
278	Frenesi	Artie Shaw	Gloomy Sunday (The Bluebird Recordings in Chronological Order, Vol. 6 - 1939 - 1940)	1940
279	Cotton Tail	Duke Ellington	The Essential Duke Ellington	1940
280	A Night In Tunisia	Charlie Parker	The Essential Charlie Parker	1940
281	The Honeydripper	Joe Liggins	Joe Liggins & The Honeydrippers	1940
282	Boplicity	Miles Davis	Birth Of The Cool	1940
283	Que reste-t-il de nos amours	Charles Trenet	Charles Trenet : 10ème anniversaire	1940
284	Oh, Lady Be Good	Ella Fitzgerald	Ella Fitzgerald Sings The George And Ira Gershwin Song Book (Expanded Edition)	1940
285	Smoke! Smoke! Smoke! (That Cigarette)	Tex Williams	Vintage Collections	1940
286	I'll Be Seeing You	Bing Crosby	Bing-His Legendary Years 1931-1957	1940
287	Hot House	Dizzy Gillespie	Groovin' High	1940
288	Good Enough to Keep (Air Mail Special)	Benny Goodman	The Real Benny Goodman	1940
289	Harlem Air-Shaft	Duke Ellington	The Essential Duke Ellington	1940
290	Opus One - 1991 Remastered	Tommy Dorsey	Greatest Hits	1940
291	Asa Branca	Various Artists	Brésil Nordeste's Song 1928-1950	1940
292	Take Me Back To Tulsa	Various Artists	The Best Of Bob Dylan's Theme Time Radio Hour Vol 2	1940
293	Deep In the Heart of Texas	Gene Autry	The Essential Gene Autry	1940
294	The Third Man Theme (The Harry Lime Theme) - Original Version	Anton Karas	Anton Karas plays "The Third Man Theme"	1940
295	Cool Water	Sons of the Pioneers	Cool Water And Seventeen Timeless Western Favorites	1940
296	Someone to Watch Over Me - 78rpm Version	Frank Sinatra	The Essential Frank Sinatra	1940
